"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","choices","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","sim_score","difficulty","trialType","correct"
"27562","32","text","0","27566","0.0-0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"12267","32","text","1","40835","0.0-0.0-1.0","","","","","","","","","","","","","","","","","","","","","","",""
"18333","32","text","2","60171","0.0-0.0-2.0","","","","","","","","","","","","","","","","","","","","","","",""
