"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","choices","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","number_of_frames","sim_score","difficulty","trialType","correct"
"1250","32","text","0","1253","0.0-0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"1107","32","text","1","3363","0.0-0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"3198","32","text","2","7563","0.0-0.0-2.0","","","","","","","","","","","","","","","","","","","","","","","",""
