rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,correct,choices,correct_choice,trial_duration,response_ends_trial,number_of_dots,number_of_sets,coherent_direction,coherence,dot_radius,dot_life,move_distance,aperture_width,aperture_height,dot_color,background_color,RDK_type,aperture_type,reinsert_type,frame_rate,frame_rate_array,number_of_frames,
-1,-1,RDK,18,6108,0.0-1.0-17.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.70791667,"[17.125,16.5,16.8149999999996,16.55000000000109,16.849999999999454,16.55499999999938,16.63000000000011,16.665000000000873,16.714999999999236,16.650000000000546,16.86499999999978,16.574999999999818]",12,
-1,-1,RDK,19,6324,0.0-1.0-18.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.61708333,"[16.17999999999938,16.49000000000069,16.579999999999927,16.845000000000255,17.234999999998763,16.110000000000582,16.835000000000036,17.729999999999563,15.830000000000837,16.480000000000473,16.62499999999909,16.465000000000146]",12,
-1,-1,RDK,20,6542,0.0-1.0-19.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.70458333,"[16.905000000000655,16.94499999999971,16.420000000000073,16.720000000000255,16.48999999999978,16.80500000000029,16.86499999999978,16.795000000000073,17.390000000000327,16.420000000000073,15.969999999999345,16.729999999999563]",12,
-1,-1,RDK,21,6759,0.0-1.0-20.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.70083333,"[17.1899999999996,16.375,16.640000000000327,16.709999999999127,16.81500000000051,16.659999999999854,16.645000000000437,16.63500000000022,16.80499999999938,16.550000000000182,16.74499999999989,16.640000000000327]",12,
-1,-1,RDK,22,6976,0.0-1.0-21.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.69,"[17.00500000000011,16.50500000000011,16.770000000000437,16.61999999999989,16.7549999999992,16.760000000001128,16.584999999999127,17.675000000000182,15.710000000000036,16.57000000000062,16.699999999999818,16.62499999999909]",12,
-1,-1,RDK,23,7192,0.0-1.0-22.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.70208333,"[17.039999999999964,16.965000000000146,16.335000000000036,16.664999999999964,16.649999999999636,16.730000000000473,16.67999999999938,16.765000000000327,17.460000000000036,16.24499999999989,16.470000000000255,16.420000000000073]",12,
-1,-1,RDK,24,7409,0.0-1.0-23.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.67625,"[16.80999999999949,16.44500000000062,17.199999999999818,16.145000000000437,16.8149999999996,16.81999999999971,16.655000000000655,16.525000000000546,16.585000000000036,16.739999999997963,16.520000000002256,16.854999999999563]",12,
-1,-1,RDK,25,7625,0.0-1.0-24.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.7,"[17.029999999999745,16.63499999999931,16.63000000000102,16.724999999998545,16.715000000001965,17.269999999999527,16.19499999999971,16.73999999999978,16.720000000001164,16.399999999997817,16.645000000000437,16.695000000001528]",12,
-1,-1,RDK,26,7843,0.0-1.0-25.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.69958333,"[17.149999999999636,16.68499999999949,16.540000000000873,16.6299999999992,16.604999999999563,16.81500000000051,16.715000000000146,16.6200000000008,16.784999999999854,17.06999999999971,16.399999999999636,16.38000000000102]",12,
-1,-1,RDK,27,8058,0.0-1.0-26.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.68,"[16.829999999999927,16.515000000001237,16.719999999999345,16.3799999999992,17.00500000000102,16.764999999999418,16.5,16.674999999999272,16.704999999999927,16.674999999999272,16.655000000000655,16.735000000000582]",12,
