rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,correct,choices,correct_choice,trial_duration,response_ends_trial,number_of_dots,number_of_sets,coherent_direction,coherence,dot_radius,dot_life,move_distance,aperture_width,aperture_height,dot_color,background_color,RDK_type,aperture_type,reinsert_type,frame_rate,frame_rate_array,number_of_frames,
2514,13,text,0,2516,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,chrome
-1,-1,RDK,1,3726,0.0-1.0-0.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.79583333,"[7.484999999999673,10.81500000000051,16.23999999999978,16.63499999999931,17.06000000000131,33.159999999998945,16.485000000000582,17.109999999999673,16.515000000000327,16.49499999999989,16.605000000000473,16.94499999999971]",12,
-1,-1,RDK,2,3943,0.0-1.0-1.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71583333,"[17.38500000000022,16.969999999999345,16.215000000000146,16.969999999999345,16.355000000001382,17.42999999999938,18.204999999999927,14.600000000000364,16.834999999999127,17.050000000000182,16.390000000000327,16.1850000000004]",12,
-1,-1,RDK,3,4159,0.0-1.0-2.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.67458333,"[16.590000000000146,16.699999999999818,16.605000000000473,17.105000000000473,16.18499999999949,16.835000000000036,16.545000000000073,16.769999999999527,16.765000000000327,16.729999999999563,16.600000000001273,16.664999999999054]",12,
-1,-1,RDK,4,4376,0.0-1.0-3.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.69208333,"[16.914999999999964,16.69500000000062,16.62499999999909,16.74000000000069,18.1899999999996,15.195000000000618,16.704999999999927,17.170000000000073,15.984999999999673,17.31999999999971,16.88500000000022,15.88000000000011]",12,
-1,-1,RDK,5,4593,0.0-1.0-4.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.69333333,"[16.94999999999891,16.590000000001055,16.62499999999909,16.69000000000051,17.05500000000029,17.25999999999931,16.050000000000182,16.485000000000582,16.544999999999163,16.670000000000982,16.68499999999949,16.714999999999236]",12,
-1,-1,RDK,6,4809,0.0-1.0-5.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.68833333,"[16.895000000000437,16.829999999999927,16.69000000000051,16.55500000000029,16.529999999998836,17.025000000000546,16.324999999999818,17.159999999999854,16.26000000000022,17.789999999999964,15.509999999999309,16.69000000000051]",12,
-1,-1,RDK,7,5026,0.0-1.0-6.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71166667,"[17.034999999999854,16.640000000001237,16.61999999999898,16.88000000000102,16.729999999999563,16.719999999999345,16.88000000000102,16.19499999999971,16.699999999999818,16.765000000000327,16.699999999999818,16.675000000000182]",12,
-1,-1,RDK,8,5242,0.0-1.0-7.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.67833333,"[16.840000000000146,16.539999999999964,16.864999999998872,16.605000000000473,16.595000000000255,16.8100000000004,17.31999999999971,16.0600000000004,16.539999999999964,16.720000000000255,16.534999999998945,16.710000000000946]",12,
-1,-1,RDK,9,5460,0.0-1.0-8.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.68625,"[16.6899999999996,16.69500000000062,16.729999999999563,16.704999999999927,16.519999999999527,17.13000000000011,16.170000000000073,16.785000000000764,16.5649999999996,16.849999999999454,16.68000000000029,16.714999999999236]",12,
