rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,correct,choices,correct_choice,trial_duration,response_ends_trial,number_of_dots,number_of_sets,coherent_direction,coherence,dot_radius,dot_life,move_distance,aperture_width,aperture_height,dot_color,background_color,RDK_type,aperture_type,reinsert_type,frame_rate,frame_rate_array,number_of_frames,
1939,13,text,0,1940,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,chrome
-1,-1,RDK,1,3147,0.0-1.0-0.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.31875,"[16.725000000000364,11.085000000000036,16.985000000000127,18.44499999999971,15.275000000000091,16.5300000000002,16.565000000000055,17.074999999999363,16.070000000000164,17.355000000000473,16.284999999999854,17.429999999999836]",12,
-1,-1,RDK,2,3360,0.0-1.0-1.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.69,"[17,16.659999999999854,16.76000000000022,16.710000000000036,17.47499999999991,16.4050000000002,16.754999999999654,16.31500000000051,17.014999999999418,17.125,15.510000000000218,16.550000000000182]",12,
-1,-1,RDK,3,3577,0.0-1.0-2.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.62333333,"[16.38000000000102,16.244999999999436,16.53500000000031,16.9699999999998,16.50500000000011,16.769999999999527,16.520000000000437,17.645000000000437,16.204999999999018,16.32000000000062,16.544999999999163,16.840000000001055]",12,
-1,-1,RDK,4,3791,0.0-1.0-3.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71181818,"[16.849999999999454,16.8100000000004,16.5,16.81500000000051,16.960000000000036,16.32499999999891,16.68500000000131,16.649999999998727,16.75500000000011,17.110000000000582,16.36999999999989]",11,
-1,-1,RDK,5,3994,0.0-1.0-4.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.52,"[14.955000000000837,16.669999999999163,16.640000000001237,16.654999999998836,16.75,16.76000000000022,16.61499999999978,18.13000000000102,15.159999999998945,16.715000000000146,16.774999999999636,16.415000000000873]",12,
-1,-1,RDK,6,4210,0.0-1.0-5.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.6925,"[17.735000000000582,15.75500000000011,16.664999999999964,17.11499999999978,16.25500000000011,16.715000000000146,16.75,22.794999999999163,11.220000000001164,16.11499999999978,16.529999999999745,16.659999999999854]",12,
-1,-1,RDK,7,4427,0.0-1.0-6.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.70416667,"[17.06500000000051,16.74999999999909,16.580000000000837,16.600000000000364,17.519999999999527,16.100000000000364,16.50999999999931,16.63000000000011,16.75500000000011,16.645000000000437,16.61499999999978,16.67999999999938]",12,
-1,-1,RDK,8,4644,0.0-1.0-7.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.69583333,"[17.100000000000364,16.49999999999909,16.74000000000069,16.625,16.644999999999527,17.600000000000364,15.839999999999236,16.850000000001273,16.50999999999931,16.63000000000011,16.68000000000029,16.63000000000011]",12,
-1,-1,RDK,9,4859,0.0-1.0-8.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.68363636,"[17.574999999999818,15.835000000000946,17.44000000000051,15.969999999999345,16.774999999999636,16.590000000000146,16.63000000000011,16.8100000000004,16.649999999999636,16.855000000000473,16.390000000000327]",11,
