"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames"
"1863","13","text","0","1865","0.0-0.0","","","","","","","","","","","","","","","","","","","","","",""
"-1","-1","RDK","1","3093","0.0-1.0-0.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.68333333333332","[18,15.699999999999818,16.59999999999991,16.600000000000364,16.800000000000182,16.499999999999545,16.59999999999991,16.400000000000546,17,15.499999999999545,17.59999999999991,16.90000000000009]","12"
"-1","-1","RDK","2","3309","0.0-1.0-1.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.209090909090925","[27.200000000000273,35.19999999999982,5.700000000000273,15.5,16.699999999999818,16.699999999999818,16.700000000000273,16.199999999999818,17.100000000000364,16.699999999999363,16.600000000000364]","11"
"-1","-1","RDK","3","3524","0.0-1.0-2.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.708333333333297","[17.399999999999636,16.300000000000182,15.599999999999909,17.800000000000182,23.59999999999991,9.599999999999909,16.700000000000273,16.799999999999727,16.700000000000273,16.59999999999991,16.700000000000273,16.699999999999363]","12"
"-1","-1","RDK","4","3743","0.0-1.0-3.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.200000000000024","[18.300000000000182,15.199999999999818,16.800000000000182,16.59999999999991,16.700000000000273,35.40000000000009,14.499999999999545,16.700000000000273,16.699999999999818,16.700000000000273,16.59999999999991]","11"
"-1","-1","RDK","5","3963","0.0-1.0-4.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.172727272727283","[27,25.90000000000009,13.900000000000091,16.699999999999818,16.59999999999991,16.600000000000364,16.899999999999636,16.700000000000273,16.599999999999454,16.600000000000364,16.40000000000009]","11"
"-1","-1","RDK","6","4174","0.0-1.0-5.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.71818181818187","[17.400000000000546,16.49999999999909,16.600000000001273,16.699999999999818,24.299999999999272,8.900000000000546,16.699999999999818,16.800000000000182,16.699999999999818,16.699999999999818,16.600000000000364]","11"
"-1","-1","RDK","7","4376","0.0-1.0-6.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.181818181818183","[24.600000000000364,35.29999999999927,6.5,16.900000000000546,16.5,16.799999999999272,16.700000000000728,16.699999999999818,16.599999999999454,15.900000000000546,17.5]","11"
"-1","-1","RDK","8","4594","0.0-1.0-7.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.691666666666606","[18.5,14.300000000000182,17.400000000000546,16.49999999999909,16.100000000000364,16.49999999999909,17.5,16.700000000000728,16.800000000000182,16.699999999999818,16.5,16.799999999999272]","12"
"-1","-1","RDK","9","4809","0.0-1.0-8.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.691666666666606","[17.399999999998727,16.100000000000364,16.80000000000109,16.599999999999454,16.699999999999818,16.599999999999454,24.300000000000182,8,31.199999999999818,3.100000000000364,16.699999999999818,16.800000000000182]","12"
