rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,correct,choices,correct_choice,trial_duration,response_ends_trial,number_of_dots,number_of_sets,coherent_direction,coherence,dot_radius,dot_life,move_distance,aperture_width,aperture_height,dot_color,background_color,RDK_type,aperture_type,reinsert_type,frame_rate,frame_rate_array,number_of_frames,
2357,13,text,0,2359,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,chrome
-1,-1,RDK,1,3566,0.0-1.0-0.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.44375,"[17.870000000000346,11.710000000000036,17.389999999999873,19.090000000000146,13.405000000000655,16.854999999999563,16.63000000000011,16.81999999999971,16.700000000000728,16.669999999999163,17.170000000000073,17.015000000000327]",12,
-1,-1,RDK,2,3781,0.0-1.0-1.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.7025,"[17.925000000000182,16.149999999999636,16.840000000000146,16.17999999999938,16.660000000000764,17.109999999999673,17.215000000000146,15.734999999999673,17.3100000000004,17.19499999999971,15.5,16.610000000000582]",12,
-1,-1,RDK,3,3997,0.0-1.0-2.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.74833333,"[17.26000000000022,17.0600000000004,16.11499999999978,17.844999999999345,15.534999999999854,16.515000000000327,16.799999999999272,16.580000000000837,16.699999999999818,17.534999999999854,16.080000000000837,16.954999999999927]",12,
-1,-1,RDK,4,4214,0.0-1.0-3.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.69916667,"[17.11999999999898,16.8050000000012,17.475000000000364,15.714999999999236,18.00500000000011,15.414999999999964,16.585000000000036,17.149999999999636,16.100000000000364,16.67999999999938,16.845000000000255,16.49499999999989]",12,
-1,-1,RDK,5,4430,0.0-1.0-4.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71041667,"[17.285000000000764,17.4399999999996,16.0049999999992,17.485000000000582,15.599999999999454,16.670000000000982,16.86499999999978,16.519999999999527,16.63000000000011,16.764999999999418,16.655000000000655,16.604999999999563]",12,
-1,-1,RDK,6,4648,0.0-1.0-5.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.72083333,"[17.140000000000327,17.1899999999996,16.24000000000069,17.49499999999898,15.81500000000051,16.545000000000073,16.655000000000655,16.644999999999527,16.63500000000022,17.474999999999454,16.280000000000655,16.534999999999854]",12,
-1,-1,RDK,7,4864,0.0-1.0-6.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.7475,"[16.985000000000582,16.67999999999938,16.75500000000011,16.55499999999938,17.63500000000022,15.9350000000004,16.55999999999949,16.61499999999978,16.650000000000546,16.610000000000582,16.74499999999989,17.24499999999989]",12,
-1,-1,RDK,8,5080,0.0-1.0-7.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71125,"[17.210000000000036,16.349999999999454,16.785000000000764,16.644999999999527,16.68000000000029,16.704999999999927,17.05999999999949,16.295000000000982,17.464999999999236,16.05500000000029,16.550000000000182,16.735000000000582]",12,
-1,-1,RDK,9,5296,0.0-1.0-8.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71409091,"[17.224999999999454,16.36499999999978,16.87500000000091,16.604999999998654,16.69500000000062,16.574999999999818,17.220000000000255,16.229999999999563,16.640000000000327,16.660000000000764,16.764999999999418]",11,
-1,-1,RDK,10,5498,0.0-1.0-9.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.51791667,"[14.739999999999782,16.68499999999949,16.51000000000022,16.81500000000051,16.93499999999858,16.530000000000655,16.720000000000255,16.524999999999636,16.655000000000655,16.63000000000011,16.799999999999272,16.670000000000073]",12,
-1,-1,RDK,11,5714,0.0-1.0-10.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.69458333,"[16.99499999999898,16.74000000000069,16.80999999999949,16.410000000000764,16.729999999999563,16.61499999999978,16.715000000001055,16.669999999999163,16.585000000000036,17.360000000000582,16.214999999999236,16.49000000000069]",12,
-1,-1,RDK,12,5931,0.0-1.0-11.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71166667,"[17.05500000000029,16.55500000000029,17.5699999999988,15.825000000000728,17.670000000000073,15.760000000000218,18.105000000000473,15.31499999999869,16.49000000000069,16.649999999999636,16.725000000000364,16.81999999999971]",12,
-1,-1,RDK,13,6147,0.0-1.0-12.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.61083333,"[15.93499999999949,16.545000000000982,16.875,16.609999999999673,16.56999999999971,16.890000000000327,16.575000000000728,16.724999999998545,16.5600000000004,16.835000000000036,16.44000000000051,16.769999999999527]",12,
-1,-1,RDK,14,6365,0.0-1.0-13.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.67875,"[17.609999999999673,15.925000000000182,16.470000000000255,16.74499999999989,16.56500000000051,16.644999999999527,16.789999999999964,16.650000000000546,16.834999999999127,17.37500000000091,15.9399999999996,16.595000000000255]",12,
-1,-1,RDK,15,6582,0.0-1.0-14.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.70333333,"[17.00500000000011,16.5649999999996,17.19500000000062,16.2549999999992,16.80500000000029,16.529999999999745,16.704999999999927,16.63499999999931,16.6200000000008,16.69499999999971,16.730000000000473,16.699999999999818]",12,
-1,-1,RDK,16,6798,0.0-1.0-15.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.62875,"[16.215000000000146,16.609999999999673,16.674999999999272,16.775000000000546,16.525000000000546,17.419999999999163,16.329999999999927,16.480000000000473,16.50500000000011,16.670000000000073,16.675000000000182,16.664999999999964]",12,
-1,-1,RDK,17,7015,0.0-1.0-16.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71708333,"[17.040000000000873,17.484999999999673,15.914999999999054,16.61500000000069,16.6299999999992,16.700000000000728,16.779999999999745,16.595000000000255,16.470000000000255,16.88500000000022,16.794999999999163,16.69500000000062]",12,
-1,-1,RDK,18,7231,0.0-1.0-17.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71041667,"[17.030000000000655,16.75999999999931,16.585000000000036,16.575000000000728,16.714999999999236,16.68500000000131,16.769999999998618,16.5600000000004,16.69500000000062,16.650000000000546,16.6899999999996,16.80999999999949]",12,
-1,-1,RDK,19,7448,0.0-1.0-18.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71083333,"[17.089999999999236,16.55500000000029,16.594999999999345,16.720000000001164,16.664999999999054,16.829999999999927,16.73999999999978,18.00500000000011,15.289999999999964,16.595000000001164,16.649999999999636,16.795000000000982]",12,
