"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames"
"1691","13","text","0","1692","0.0-0.0","","","","","","","","","","","","","","","","","","","","","",""
"-1","-1","RDK","1","2924","0.0-1.0-0.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.678333333333324","[35.57499999999982,9.775000000000091,5.724999999999909,16.245000000000346,16.664999999999964,16.81999999999971,16.125,16.565000000000055,16.1550000000002,17.329999999999927,16.574999999999818,16.585000000000036]","12"
"-1","-1","RDK","2","3144","0.0-1.0-1.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.65291666666667","[16.769999999999982,31.38500000000022,2.299999999999727,16.920000000000073,16.170000000000073,16.5,17.11499999999978,16.715000000000146,16.335000000000036,16.539999999999964,15.675000000000182,17.409999999999854]","12"
"-1","-1","RDK","3","3356","0.0-1.0-2.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.68500000000002","[16.940000000000055,15.974999999999909,17.295000000000073,16.679999999999836,16.595000000000255,19.954999999999927,20.875,9.2800000000002,15.734999999999673,17.539999999999964,16.715000000000146,16.63500000000022]","12"
"-1","-1","RDK","4","3574","0.0-1.0-3.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.235000000000003","[16.429999999999836,17.325000000000273,16.574999999999818,16.6550000000002,16.63000000000011,16.684999999999945,33.33999999999969,16.990000000000236,16.574999999999818,16.720000000000255,16.659999999999854]","11"
"-1","-1","RDK","5","3790","0.0-1.0-4.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.697916666666668","[17.225000000000364,16.649999999999636,15.635000000000218,17.514999999999873,16.960000000000036,16.519999999999982,17.579999999999927,16.235000000000127,15.670000000000073,17.154999999999745,16.13500000000022,17.0949999999998]","12"
"-1","-1","RDK","6","4009","0.0-1.0-5.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.200454545454498","[16.829999999999927,16.315000000000055,16.9699999999998,16.59999999999991,16.65000000000009,15.889999999999873,34.48000000000002,16.490000000000236,16.545000000000073,16.84999999999991,16.58499999999958]","11"
"-1","-1","RDK","7","4225","0.0-1.0-6.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.23363636363642","[16.534999999999854,17.335000000000036,16.450000000000728,16.699999999999818,16.63500000000022,16.669999999999163,34.0600000000004,15.50500000000011,17.409999999999854,16.730000000000473,16.539999999999964]","11"
"-1","-1","RDK","8","4444","0.0-1.0-7.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.667916666666617","[17.13000000000011,15.549999999999272,17.920000000000073,15.88000000000011,17.110000000000582,16.729999999999563,15.920000000000073,17.399999999999636,16.625,16.670000000000073,15.700000000000728,17.3799999999992]","12"
"-1","-1","RDK","9","4659","0.0-1.0-8.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.6716666666667","[16.74499999999989,16.63500000000022,16.659999999999854,16.650000000000546,16.68499999999949,16.460000000000036,17.534999999999854,16.300000000000182,16.44000000000051,16.599999999999454,16.73999999999978,16.610000000000582]","12"
