rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,correct,choices,correct_choice,trial_duration,response_ends_trial,number_of_dots,number_of_sets,coherent_direction,coherence,dot_radius,dot_life,move_distance,aperture_width,aperture_height,dot_color,background_color,RDK_type,aperture_type,reinsert_type,frame_rate,frame_rate_array,number_of_frames,
956,32,text,0,957,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,chrome
-1,-1,RDK,1,2163,0.0-1.0-0.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,15.92125,"[10.4350000000004,13.3149999999996,16.820000000000164,17.449999999999818,15.545000000000528,17.934999999999945,15.614999999999782,16.61499999999978,16.690000000000055,16.730000000000018,16.86999999999989,17.034999999999854]",12,
-1,-1,RDK,2,2373,0.0-1.0-1.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71416667,"[17.54000000000042,16.634999999999764,16.50500000000011,16.795000000000073,16.730000000000018,16.98999999999978,16.795000000000073,16.24499999999989,17.754999999999654,17.045000000000073,15.684999999999945,15.850000000000364]",12,
-1,-1,RDK,3,2589,0.0-1.0-2.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.72375,"[17.125,16.6550000000002,16.965000000000146,16.654999999999745,16.375,16.770000000000437,16.514999999999873,16.730000000000018,16.74499999999989,17.61999999999989,15.795000000000073,16.734999999999673]",12,
-1,-1,RDK,4,2806,0.0-1.0-3.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.69,"[16.919999999999618,16.490000000000236,16.754999999999654,16.745000000000346,16.815000000000055,17.234999999999673,16.115000000000236,16.49499999999989,16.565000000000055,16.789999999999964,16.77500000000009,16.579999999999927]",12,
-1,-1,RDK,5,3021,0.0-1.0-4.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.68291667,"[17.609999999999673,15.864999999999782,16.99000000000069,16.539999999999964,16.519999999999527,16.715000000000146,17.945000000000164,15.434999999999945,16.674999999999727,17.809999999999945,15.525000000000546,16.5649999999996]",12,
-1,-1,RDK,6,3238,0.0-1.0-5.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71083333,"[17.385000000000673,17.099999999999454,16.085000000000036,17.58500000000049,15.549999999999727,16.615000000000236,17.11499999999978,16.149999999999636,16.795000000000073,17.445000000000164,15.840000000000146,16.86499999999978]",12,
-1,-1,RDK,7,3456,0.0-1.0-6.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.70041667,"[17.049999999999727,16.679999999999836,16.59999999999991,16.690000000000055,17.610000000000127,16.490000000000236,15.920000000000073,16.67999999999938,16.585000000000036,16.704999999999927,16.75,16.645000000000437]",12,
-1,-1,RDK,8,3672,0.0-1.0-7.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71083333,"[17.829999999999927,15.875,16.715000000000146,16.6200000000008,16.764999999999418,16.609999999999673,16.824999999999818,16.76000000000022,17.18499999999949,16.080000000000837,16.734999999999673,16.529999999999745]",12,
-1,-1,RDK,9,3888,0.0-1.0-8.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.70590909,"[17.30999999999949,16.279999999999745,16.645000000000437,16.81500000000051,16.474999999999454,16.93000000000029,16.520000000000437,16.75,16.854999999999563,16.350000000000364,16.834999999999127]",11,
-1,-1,RDK,10,4090,0.0-1.0-9.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.39666667,"[13.210000000000946,16.669999999999163,17.344999999999345,16.205000000000837,16.75999999999931,16.43000000000029,17.00500000000011,16.355000000000473,16.74499999999898,16.88500000000022,16.300000000000182,16.850000000000364]",12,
-1,-1,RDK,11,4306,0.0-1.0-10.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.68583333,"[16.99499999999989,16.654999999999745,16.850000000000364,16.36500000000069,16.74499999999989,16.609999999999673,16.899999999999636,17.274999999999636,15.980000000001382,17.30499999999938,16.900000000000546,15.649999999999636]",12,
-1,-1,RDK,12,4523,0.0-1.0-11.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.72416667,"[17.36499999999978,16.275000000000546,17.284999999999854,16.099999999999454,17.44000000000051,16.38500000000022,16.24999999999909,16.62500000000091,16.7549999999992,16.75,16.704999999999927,16.75500000000011]",12,
