"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames"
"5158","13","text","0","5159","0.0-0.0","","","","","","","","","","","","","","","","","","","","","",""
"-1","-1","RDK","1","6387","0.0-1.0-0.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.691666666666606","[17.5,16.399999999999636,16.399999999999636,16.599999999999454,16.800000000000182,16.600000000000364,16.600000000000364,16.699999999999818,16.699999999999818,16.699999999999818,16.600000000000364,16.699999999999818]","12"
"-1","-1","RDK","2","6603","0.0-1.0-1.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.209090909090925","[17.400000000000546,33.39999999999873,15.400000000000546,17.5,16.700000000000728,16.599999999999454,16.699999999999818,16.700000000000728,16.699999999999818,16.69999999999891,16.50000000000091]","11"
"-1","-1","RDK","3","6821","0.0-1.0-2.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.69166666666668","[18.300000000000182,15.199999999999818,26.600000000000364,6.199999999999818,17,17.799999999999272,15.100000000000364,17.400000000000546,16.69999999999891,16.700000000000728,16.600000000000364,16.699999999999818]","12"
"-1","-1","RDK","4","7037","0.0-1.0-3.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.658333333333378","[17.100000000000364,16.200000000000728,16.699999999999818,16.599999999999454,16.700000000000728,31.799999999999272,3.2000000000007276,22.800000000000182,8.199999999998909,16.800000000000182,17.300000000000182,16.5]","12"
"-1","-1","RDK","5","7252","0.0-1.0-4.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.41999999999998","[27.400000000000546,28.299999999999272,11.800000000000182,16.699999999999818,16.700000000000728,16.599999999999454,16.699999999999818,16.700000000000728,16.600000000000364,16.69999999999891]","10"
"-1","-1","RDK","6","7457","0.0-1.0-5.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.650000000000016","[17.50000000000091,15.599999999999454,16.599999999999454,16.700000000000728,23.400000000000546,9.799999999999272,16.799999999999272,16.700000000000728,16.699999999999818,16.600000000000364,16.699999999999818,16.699999999999818]","12"
"-1","-1","RDK","7","7668","0.0-1.0-6.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.74545454545453","[21.300000000000182,25.399999999999636,3.600000000000364,17.100000000000364,16.800000000000182,15.599999999999454,17.699999999999818,15.900000000000546,17.399999999998727,16.800000000000182,16.600000000000364]","11"
"-1","-1","RDK","8","7871","0.0-1.0-7.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.64166666666665","[20.49999999999909,27.50000000000091,1.5,16.299999999999272,17.199999999999818,16.699999999999818,16.600000000000364,16.800000000000182,15.5,17.799999999999272,16.700000000000728,16.600000000000364]","12"
"-1","-1","RDK","9","8086","0.0-1.0-8.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.700000000000045","[20,13.5,16.800000000000182,16.699999999999818,16.700000000000728,16.799999999999272,16.49999999999909,16.700000000000728,16.600000000000364,16.799999999999272,16.600000000000364,16.700000000000728]","12"
"-1","-1","RDK","10","8305","0.0-1.0-9.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.700000000000045","[18.00000000000091,15.5,24.700000000000728,7.799999999999272,17.5,16.600000000000364,16.799999999999272,16.700000000000728,16.69999999999891,16.399999999999636,16.899999999999636,16.80000000000109]","12"
"-1","-1","RDK","11","8521","0.0-1.0-10.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.218181818181787","[17.19999999999891,16.5,16.5,16.80000000000109,35.19999999999891,14.700000000000728,16.799999999999272,16.700000000000728,16.69999999999891,16.600000000000364,16.700000000000728]","11"
