"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames"
"2343","13","text","0","2344","0.0-0.0","","","","","","","","","","","","","","","","","","","","","",""
"-1","-1","RDK","1","3568","0.0-1.0-0.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.683333333333355","[18.200000000000273,15.299999999999727,16.800000000000182,16.59999999999991,16.59999999999991,16.700000000000273,16.5,16.799999999999727,16.90000000000009,16.300000000000182,16.799999999999727,16.700000000000273]","12"
"-1","-1","RDK","2","3783","0.0-1.0-1.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.218181818181826","[17.800000000000182,37.09999999999991,12.199999999999818,16.5,16.800000000000182,16.59999999999991,16.700000000000273,16.699999999999818,16.699999999999818,16.59999999999991,16.700000000000273]","11"
"-1","-1","RDK","3","3999","0.0-1.0-2.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.69166666666668","[17.399999999999636,16.200000000000273,16.600000000000364,32,5.899999999999636,11.400000000000091,17.299999999999727,16.699999999999818,16.200000000000273,17.299999999999727,16.50000000000091,16.799999999999727]","12"
"-1","-1","RDK","4","4217","0.0-1.0-3.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.15454545454544","[18.599999999999454,15,16.700000000000728,16.69999999999891,37.30000000000018,12.600000000000364,16.800000000000182,16.699999999999818,16.699999999999818,16.800000000000182,15.800000000000182]","11"
"-1","-1","RDK","5","4433","0.0-1.0-4.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.209090909090843","[24.199999999999818,25.899999999999636,16.800000000000182,16.699999999999818,16.699999999999818,16.600000000000364,16.699999999999818,16.699999999999818,16.700000000000728,16.599999999999454,16.699999999999818]","11"
"-1","-1","RDK","6","4649","0.0-1.0-5.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.633333333333365","[17.200000000000728,16.199999999999818,16.799999999999272,24.400000000000546,8.799999999999272,16.700000000000728,16.799999999999272,16.700000000000728,16.600000000000364,16.800000000000182,16.599999999999454,16]","12"
"-1","-1","RDK","7","4866","0.0-1.0-6.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.21818181818187","[17.400000000000546,16.299999999999272,16.5,16.900000000000546,16.699999999999818,35.69999999999891,13.700000000000728,17,16.899999999999636,16.600000000000364,16.700000000000728]","11"
"-1","-1","RDK","8","5081","0.0-1.0-7.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.218181818181787","[26.5,26.50000000000091,13.899999999998727,16.700000000000728,16.800000000000182,16.699999999999818,16.599999999999454,16.600000000000364,16.800000000000182,16.600000000000364,16.69999999999891]","11"
"-1","-1","RDK","9","5300","0.0-1.0-8.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.691666666666606","[16.99999999999909,15.900000000000546,17.299999999999272,16.600000000000364,16.800000000000182,21.099999999999454,12.200000000000728,16.600000000000364,16.699999999999818,16.699999999999818,16.699999999999818,16.699999999999818]","12"
"-1","-1","RDK","10","5514","0.0-1.0-9.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.440000000000055","[18.00000000000091,16.199999999999818,16.699999999999818,16.699999999999818,16.700000000000728,33.29999999999927,16.699999999999818,15.699999999999818,17.600000000000364,16.800000000000182]","10"
"-1","-1","RDK","11","5716","0.0-1.0-10.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.57499999999997","[16.5,16.399999999999636,16.600000000000364,26.399999999999636,6.800000000000182,15.900000000000546,17.699999999999818,16.699999999999818,16.599999999999454,16.699999999999818,16.800000000000182,15.800000000000182]","12"
"-1","-1","RDK","12","5934","0.0-1.0-11.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.21818181818187","[18.099999999999454,15.400000000000546,16.899999999999636,16.600000000000364,16.899999999999636,35.30000000000018,13.800000000000182,17.399999999999636,16.699999999999818,16.700000000000728,16.600000000000364]","11"
"-1","-1","RDK","13","6152","0.0-1.0-12.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.218181818181787","[17.099999999999454,37.100000000000364,12.199999999999818,17.199999999999818,16.700000000000728,16.699999999999818,16.69999999999891,16.600000000001273,16.699999999999818,16.699999999999818,16.699999999999818]","11"
"-1","-1","RDK","14","6366","0.0-1.0-13.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.691666666666606","[17.399999999999636,16.199999999999818,16.5,23.800000000000182,9.5,15.899999999999636,17.600000000000364,16.699999999999818,16.699999999999818,16.700000000000728,16.599999999999454,16.699999999999818]","12"
"-1","-1","RDK","15","6584","0.0-1.0-14.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.69166666666668","[17.399999999999636,15.800000000000182,17.199999999999818,16.5,16.700000000000728,31.399999999999636,2.7999999999992724,15.600000000000364,15.900000000000546,17.69999999999891,16.700000000000728,16.600000000000364]","12"
"-1","-1","RDK","16","6804","0.0-1.0-15.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.75454545454539","[23.900000000000546,25.399999999998727,1.7000000000007276,16.5,16.600000000000364,16.899999999999636,16.699999999999818,16.599999999999454,16.800000000000182,48.69999999999982,6.5]","11"
"-1","-1","RDK","17","7017","0.0-1.0-16.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.674999999999955","[17,16.199999999999818,16.800000000000182,16.699999999999818,17,28.600000000000364,4.199999999999818,16.699999999999818,16.900000000000546,16.600000000000364,16.69999999999891,16.699999999999818]","12"
"-1","-1","RDK","18","7234","0.0-1.0-17.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.683333333333394","[17.399999999999636,27.199999999999818,5.100000000000364,17.200000000000728,16.599999999999454,16.100000000000364,17.399999999999636,15.599999999999454,17.30000000000109,16.99999999999909,16,17.30000000000109]","12"
"-1","-1","RDK","19","7451","0.0-1.0-18.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.69166666666668","[19,14.600000000000364,16.600000000000364,15.799999999999272,17.599999999999454,16.200000000000728,17.199999999999818,16.599999999999454,16.80000000000109,16.69999999999891,16.600000000000364,16.600000000000364]","12"
"-1","-1","RDK","20","7668","0.0-1.0-19.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.209090909090843","[17.399999999999636,16,16.900000000000546,16.599999999999454,16.699999999999818,35.70000000000073,14.199999999999818,16.800000000000182,16.600000000000364,16.799999999999272,16.599999999999454]","11"
"-1","-1","RDK","21","7881","0.0-1.0-20.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.75454545454547","[20.600000000000364,27.399999999999636,3,16.600000000000364,16.800000000000182,16.599999999999454,16.699999999999818,16.800000000000182,16.600000000000364,16.700000000000728,16.49999999999909]","11"
"-1","-1","RDK","22","8084","0.0-1.0-21.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.658333333333303","[16.69999999999891,15.700000000000728,17.5,16.600000000000364,25.099999999998545,8.200000000000728,16.600000000000364,16.799999999999272,16.700000000000728,16.699999999999818,16.600000000000364,16.699999999999818]","12"
"-1","-1","RDK","23","8301","0.0-1.0-22.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.69166666666676","[19,25.299999999999272,5.200000000000728,17.399999999999636,16.700000000000728,16.700000000000728,16.69999999999891,16.599999999998545,16.700000000000728,16.100000000000364,17.30000000000109,16.600000000000364]","12"
"-1","-1","RDK","24","8518","0.0-1.0-23.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.21818181818195","[17.30000000000109,16.299999999999272,16.5,32.899999999999636,17.30000000000109,16.700000000000728,16.600000000000364,15.699999999998909,17.700000000000728,15.899999999997817,17.50000000000182]","11"
