"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames"
"-1","-1","RDK","12","5270","0.0-1.0-11.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.700000000000045","[17.199999999999818,16.400000000000546,16.699999999999818,16.5,16.800000000000182,16.699999999999818,30.100000000000364,2.5999999999994543,17.199999999999818,16.199999999999818,17.200000000000728,16.800000000000182]","12"
"-1","-1","RDK","13","5483","0.0-1.0-12.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.439999999999962","[25.599999999999454,38.100000000000364,4.400000000000546,16.49999999999909,16.300000000000182,17,16.699999999999818,16.600000000000364,16.700000000000728,16.49999999999909]","10"
"-1","-1","RDK","14","5685","0.0-1.0-13.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.118181818181835","[16.099999999999454,16.600000000000364,16.599999999999454,16.700000000000728,17.199999999999818,32.30000000000018,17.099999999999454,16.700000000000728,16.699999999999818,16.700000000000728,16.599999999999454]","11"
"-1","-1","RDK","15","5903","0.0-1.0-14.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.69166666666676","[24.300000000000182,15.900000000000546,9.100000000000364,17.599999999999454,16.700000000000728,16.699999999999818,16.69999999999891,16.600000000000364,16.5,16.900000000000546,16.599999999999454,16.700000000000728]","12"
"-1","-1","RDK","16","6119","0.0-1.0-15.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.69166666666668","[17.400000000000546,16.19999999999891,16.5,21.699999999999818,11.700000000000728,16.800000000000182,16.600000000000364,16.599999999999454,16.799999999999272,16.700000000000728,16.600000000000364,16.699999999999818]","12"
"-1","-1","RDK","17","6335","0.0-1.0-16.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.209090909090925","[19.5,14.100000000000364,16.699999999999818,16.699999999999818,16.600000000000364,33,17.099999999999454,16.600000000000364,16.699999999999818,16.700000000000728,16.599999999999454]","11"
"-1","-1","RDK","18","6552","0.0-1.0-17.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.209090909090925","[17.600000000000364,48.29999999999927,2.5,15,16.800000000000182,16.699999999999818,16.699999999999818,16.700000000000728,16.600000000000364,16.5,16.899999999999636]","11"
"-1","-1","RDK","19","6769","0.0-1.0-18.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.683333333333394","[17.200000000000728,16.299999999999272,16.600000000000364,16.300000000000182,27.900000000000546,5.799999999999272,16.600000000000364,16.899999999999636,16.600000000000364,16.699999999999818,16.699999999999818,16.600000000000364]","12"
"-1","-1","RDK","20","6983","0.0-1.0-19.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.73636363636359","[19.199999999999818,15.400000000000546,16.899999999999636,16.49999999999909,16.800000000000182,16.600000000000364,23.399999999999636,9.00000000000091,17.5,16.600000000000364,16.19999999999891]","11"
"-1","-1","RDK","21","7198","0.0-1.0-20.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","17.927272727272793","[15.199999999999818,16.5,16.50000000000091,45.19999999999891,4.800000000000182,16.599999999999454,16.800000000000182,16.699999999999818,16.700000000000728,16.699999999999818,15.50000000000091]","11"
"-1","-1","RDK","22","7400","0.0-1.0-21.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.73636363636359","[18.19999999999891,15.700000000000728,16.599999999999454,16.700000000000728,16.799999999999272,16.400000000000546,31.800000000000182,2.399999999999636,16,16.699999999999818,16.800000000000182]","11"
