"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames"
"2231","13","text","0","2232","0.0-0.0","","","","","","","","","","","","","","","","","","","","","",""
"-1","-1","RDK","1","3458","0.0-1.0-0.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.69416666666666","[36.26499999999987,8.394999999999982,6.350000000000364,16.199999999999818,17.324999999999818,16.735000000000127,15.615000000000236,16.774999999999636,16.625,17.490000000000236,15.724999999999909,16.829999999999927]","12"
"-1","-1","RDK","2","3672","0.0-1.0-1.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.661666666666672","[15.88000000000011,32.40000000000009,2.119999999999891,17.014999999999873,16.15000000000009,18.390000000000327,15.284999999999854,16.159999999999854,15.965000000000146,17.34999999999991,16.565000000000055,16.659999999999854]","12"
"-1","-1","RDK","3","3892","0.0-1.0-2.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.655000000000012","[16.980000000000018,16.50500000000011,16.835000000000036,16.034999999999854,16.24499999999989,21.120000000000346,21,8.96499999999969,16.6550000000002,16.654999999999745,16.675000000000182,16.190000000000055]","12"
"-1","-1","RDK","4","4108","0.0-1.0-3.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.240909090909057","[17.009999999999764,16.595000000000255,16.634999999999764,16.745000000000346,16.664999999999964,15.664999999999509,34.720000000000255,16.524999999999636,16.55500000000029,16.789999999999964,16.74499999999989]","11"
"-1","-1","RDK","5","4323","0.0-1.0-4.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.239545454545475","[16.13500000000022,17.4399999999996,16.825000000000728,16.664999999999964,16.654999999999745,16.644999999999527,33.655000000000655,16.409999999999854,16.704999999999927,16.88500000000022,16.61499999999978]","11"
"-1","-1","RDK","6","4542","0.0-1.0-5.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.17999999999996","[16.964999999999236,16.645000000000437,16.024999999999636,16.57000000000062,17.23999999999978,16.784999999999854,33.845000000000255,16.13000000000011,16.729999999999563,16.659999999999854,16.38500000000022]","11"
"-1","-1","RDK","7","4758","0.0-1.0-6.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.17181818181821","[17.095000000000255,16.829999999999927,16.390000000000327,16.625,16.714999999999236,15.555000000000291,35.01000000000022,16.3149999999996,16.465000000000146,16.73999999999978,16.150000000000546]","11"
"-1","-1","RDK","8","4972","0.0-1.0-7.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.71208333333334","[16.36499999999978,17.664999999999964,16.775000000000546,15.594999999999345,17.325000000000728,16.67999999999938,16.675000000000182,16.69000000000051,15.804999999999382,17.425000000000182,16.835000000000036,16.710000000000036]","12"
"-1","-1","RDK","9","5189","0.0-1.0-8.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.59375","[16.454999999999927,16.529999999999745,16.700000000000728,15.99499999999989,17.335000000000036,16.644999999999527,17.515000000000327,16.284999999999854,16.23999999999978,16.670000000000073,16.69499999999971,16.0600000000004]","12"
"-1","-1","RDK","10","5408","0.0-1.0-9.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.225000000000033","[17.045000000000073,16.645000000000437,16.625,16.664999999999964,16.61499999999978,16.800000000000182,36.13000000000011,14.399999999999636,16.164999999999964,16.76000000000022,16.625]","11"
"-1","-1","RDK","11","5624","0.0-1.0-10.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.22681818181817","[16.090000000000146,17.425000000000182,16.909999999999854,16.63000000000011,16.484999999999673,16.74499999999989,34.410000000000764,14.819999999999709,17.404999999999745,16.840000000000146,16.734999999999673]","11"
"-1","-1","RDK","12","5840","0.0-1.0-11.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.194545454545484","[17.225000000000364,16.74499999999989,16.465000000000146,15.779999999999745,17.289999999999964,17.234999999999673,33.73500000000058,16.109999999999673,16.480000000000473,16.699999999999818,16.375]","11"
